"Date"	2019-12-28 08:22:26 GMT+05:30
"Average Count [samples]"	400
"Average Function"	Quadratic Mean
"Digitiser Firmware Version"	01.02-00/00
"Digitiser Hardware Version"	04_01/01
"Digitiser Name"	FGM3D TD
"Digitiser Serial Number"	000078
"Profile Settings"	Name: FGM3D/100 (Unit: T). Transformer: [UnitConverter[Factor: 1E-05. Units: V => T]]. Unit: T
"Recording Software Copyright"	Copyright ©  SENSYS 2012 - 2014
"Recording Software Name"	SENSYS FGM3D TD Application
"Recording Software Vendor"	SENSYS GmbH
"Recording Software Version"	01.00-01/00
"Samplerate [Hz]"	400

"Timestamp [ms]"	"X-Axis [T]"	"Y-Axis [T]"	"Z-Axis [T]"	"Absolute Value [T]"
1577521445541	3.71958316E-6	4.01307371E-5	9.37353400E-6	4.13784304E-5
1577521446541	3.71953906E-6	4.01307064E-5	9.37354493E-6	4.13783991E-5
1577521447541	3.71958121E-6	4.01306973E-5	9.37347945E-6	4.13783793E-5
1577521448541	3.71962887E-6	4.01307516E-5	9.37348990E-6	4.13784385E-5
1577521449527	3.71959552E-6	4.01307264E-5	9.37343798E-6	4.13783993E-5
1577521450530	3.71958049E-6	4.01307363E-5	9.37334961E-6	4.13783876E-5
1577521451537	3.71956825E-6	4.01307707E-5	9.37331598E-6	4.13784122E-5
1577521452540	3.71954738E-6	4.01307767E-5	9.37336766E-6	4.13784279E-5
1577521453528	3.71956963E-6	4.01307501E-5	9.37332083E-6	4.13783934E-5
1577521454534	3.71956936E-6	4.01307925E-5	9.37334299E-6	4.13784395E-5
1577521455538	3.71955178E-6	4.01308048E-5	9.37337215E-6	4.13784565E-5
1577521456539	3.71958034E-6	4.01308101E-5	9.37335434E-6	4.13784602E-5
1577521457540	3.71959588E-6	4.01307985E-5	9.37337308E-6	4.13784546E-5
1577521458535	3.71960926E-6	4.01307836E-5	9.37338269E-6	4.13784435E-5
1577521459539	3.71959396E-6	4.01308366E-5	9.37337317E-6	4.13784914E-5
1577521460541	3.71957849E-6	4.01308419E-5	9.37339266E-6	4.13784995E-5
1577521461532	3.71956032E-6	4.01308617E-5	9.37334847E-6	4.13785071E-5
1577521462535	3.71956112E-6	4.01308367E-5	9.37333853E-6	4.13784807E-5
1577521463538	3.71958043E-6	4.01308297E-5	9.37337119E-6	4.13784830E-5
1577521464540	3.71955936E-6	4.01308151E-5	9.37337949E-6	4.13784689E-5
1577521465526	3.71960381E-6	4.01308805E-5	9.37333907E-6	4.13785271E-5
1577521466527	3.71957346E-6	4.01308679E-5	9.37328401E-6	4.13784997E-5
1577521467529	3.71964860E-6	4.01308932E-5	9.37328599E-6	4.13785314E-5
1577521468539	3.71962357E-6	4.01308680E-5	9.37326174E-6	4.13784993E-5
1577521469540	3.71953810E-6	4.01308169E-5	9.37322132E-6	4.13784329E-5
1577521470527	3.71948176E-6	4.01308736E-5	9.37321363E-6	4.13784810E-5
1577521471534	3.71944928E-6	4.01308600E-5	9.37322237E-6	4.13784669E-5
1577521472527	3.71944176E-6	4.01308707E-5	9.37323994E-6	4.13784806E-5
1577521473534	3.71943056E-6	4.01308884E-5	9.37322247E-6	4.13784928E-5
1577521474538	3.71946918E-6	4.01309151E-5	9.37321681E-6	4.13785209E-5
1577521475530	3.71947029E-6	4.01309372E-5	9.37321606E-6	4.13785423E-5
1577521476534	3.71944469E-6	4.01308945E-5	9.37321507E-6	4.13784983E-5
1577521477537	3.71941808E-6	4.01309421E-5	9.37320073E-6	4.13785388E-5
1577521478540	3.71940958E-6	4.01309234E-5	9.37315361E-6	4.13785093E-5
1577521479528	3.71940952E-6	4.01309656E-5	9.37317194E-6	4.13785543E-5
1577521480531	3.71939551E-6	4.01309590E-5	9.37316978E-6	4.13785462E-5
1577521481535	3.71941963E-6	4.01309274E-5	9.37317822E-6	4.13785196E-5
1577521482536	3.71942688E-6	4.01309688E-5	9.37313709E-6	4.13785511E-5
1577521483539	3.71943873E-6	4.01310156E-5	9.37314864E-6	4.13786001E-5
1577521484541	3.71942664E-6	4.01310116E-5	9.37316172E-6	4.13785982E-5
1577521485541	3.71945080E-6	4.01310176E-5	9.37314786E-6	4.13786030E-5
1577521486545	3.71947649E-6	4.01310126E-5	9.37316128E-6	4.13786035E-5
1577521487527	3.71946430E-6	4.01310435E-5	9.37315521E-6	4.13786310E-5
1577521488540	3.71944128E-6	4.01310224E-5	9.37313997E-6	4.13786050E-5
1577521489533	3.71946406E-6	4.01310586E-5	9.37314889E-6	4.13786443E-5
1577521490535	3.71942876E-6	4.01310649E-5	9.37311426E-6	4.13786394E-5
1577521491540	3.71943469E-6	4.01310918E-5	9.37308276E-6	4.13786588E-5
1577521492531	3.71942071E-6	4.01310903E-5	9.37307841E-6	4.13786551E-5
1577521493532	3.71942592E-6	4.01310950E-5	9.37305860E-6	4.13786556E-5
1577521494535	3.71942607E-6	4.01311126E-5	9.37304318E-6	4.13786692E-5
1577521495537	3.71945475E-6	4.01311016E-5	9.37303725E-6	4.13786598E-5
1577521496527	3.71943730E-6	4.01311165E-5	9.37300648E-6	4.13786657E-5
1577521497529	3.71942517E-6	4.01311215E-5	9.37297346E-6	4.13786620E-5
1577521498531	3.71940577E-6	4.01311502E-5	9.37300010E-6	4.13786941E-5
1577521499535	3.71938736E-6	4.01311660E-5	9.37295193E-6	4.13786969E-5
1577521500539	3.71938194E-6	4.01311473E-5	9.37297373E-6	4.13786832E-5
1577521501541	3.71934027E-6	4.01310901E-5	9.37298549E-6	4.13786267E-5
1577521502541	3.71933832E-6	4.01310865E-5	9.37294618E-6	4.13786140E-5
1577521503541	3.71928680E-6	4.01310859E-5	9.37288516E-6	4.13785951E-5
1577521504541	3.71934141E-6	4.01308675E-5	9.37282421E-6	4.13783743E-5
1577521505529	3.71979095E-6	4.01308442E-5	9.37276296E-6	4.13783782E-5
1577521506541	3.72012551E-6	4.01312174E-5	9.37270955E-6	4.13787582E-5
1577521507541	3.72020284E-6	4.01316437E-5	9.37270746E-6	4.13791781E-5
1577521508541	3.71997507E-6	4.01316239E-5	9.37282565E-6	4.13791652E-5
1577521509539	3.71978844E-6	4.01315373E-5	9.37289678E-6	4.13790805E-5
1577521510527	3.71973967E-6	4.01314287E-5	9.37292247E-6	4.13789766E-5
1577521511539	3.71970356E-6	4.01313773E-5	9.37292343E-6	4.13789237E-5
1577521512532	3.71972176E-6	4.01313259E-5	9.37293079E-6	4.13788772E-5
1577521513528	3.71973817E-6	4.01313700E-5	9.37294968E-6	4.13789257E-5
1577521514529	3.71971760E-6	4.01313368E-5	9.37297084E-6	4.13788965E-5
1577521515528	3.71970985E-6	4.01313277E-5	9.37298510E-6	4.13788902E-5
1577521516534	3.71967671E-6	4.01313431E-5	9.37296881E-6	4.13788985E-5
1577521517541	3.71972129E-6	4.01313255E-5	9.37296818E-6	4.13788853E-5
1577521518533	3.71970263E-6	4.01313592E-5	9.37290929E-6	4.13789029E-5
1577521519539	3.71973042E-6	4.01313810E-5	9.37292576E-6	4.13789303E-5
1577521520538	3.71976784E-6	4.01313913E-5	9.37291639E-6	4.13789415E-5
1577521521531	3.71973566E-6	4.01313654E-5	9.37289717E-6	4.13789092E-5
1577521522527	3.71975748E-6	4.01313789E-5	9.37291115E-6	4.13789274E-5
1577521523536	3.71974790E-6	4.01313507E-5	9.37292271E-6	4.13789018E-5
1577521524528	3.71971162E-6	4.01313450E-5	9.37290101E-6	4.13788881E-5
1577521525540	3.71971710E-6	4.01313637E-5	9.37288829E-6	4.13789038E-5
1577521526540	3.71975650E-6	4.01313773E-5	9.37295598E-6	4.13789359E-5
1577521527532	3.71971605E-6	4.01314236E-5	9.37291479E-6	4.13789678E-5
1577521528541	3.71972916E-6	4.01313719E-5	9.37294754E-6	4.13789263E-5
1577521529541	3.71975593E-6	4.01314161E-5	9.37295598E-6	4.13789735E-5
1577521530536	3.71974701E-6	4.01313642E-5	9.37296802E-6	4.13789251E-5
1577521531539	3.71971677E-6	4.01313778E-5	9.37297170E-6	4.13789364E-5
1577521532535	3.71972611E-6	4.01314222E-5	9.37299591E-6	4.13789858E-5
1577521533526	3.71974159E-6	4.01313873E-5	9.37295721E-6	4.13789446E-5
1577521534536	3.71976617E-6	4.01313637E-5	9.37295185E-6	4.13789227E-5
1577521535537	3.71975850E-6	4.01313973E-5	9.37299993E-6	4.13789655E-5
1577521536541	3.71975683E-6	4.01313206E-5	9.37299352E-6	4.13788895E-5
1577521537538	3.71974266E-6	4.01313817E-5	9.37296996E-6	4.13789421E-5
1577521538537	3.71975266E-6	4.01313965E-5	9.37293491E-6	4.13789494E-5
1577521539529	3.71971515E-6	4.01313846E-5	9.37293516E-6	4.13789345E-5
1577521540538	3.71975530E-6	4.01313967E-5	9.37300156E-6	4.13789649E-5
1577521541535	3.71973931E-6	4.01313796E-5	9.37301136E-6	4.13789491E-5
1577521542538	3.71970620E-6	4.01313309E-5	9.37300648E-6	4.13788978E-5
1577521543526	3.71969805E-6	4.01313676E-5	9.37302138E-6	4.13789360E-5
1577521544533	3.71968563E-6	4.01313732E-5	9.37301806E-6	4.13789397E-5
1577521545527	3.71972955E-6	4.01314022E-5	9.37304701E-6	4.13789783E-5
1577521546540	3.71971527E-6	4.01314455E-5	9.37305156E-6	4.13790199E-5
1577521547538	3.71972293E-6	4.01314897E-5	9.37305853E-6	4.13790652E-5
1577521548535	3.71979209E-6	4.01314700E-5	9.37304925E-6	4.13790501E-5
1577521549535	3.71985523E-6	4.01316031E-5	9.37300333E-6	4.13791745E-5
1577521550541	3.72012706E-6	4.01316836E-5	9.37302811E-6	4.13792826E-5
1577521551536	3.72056769E-6	4.01314281E-5	9.37305054E-6	4.13790795E-5
1577521552536	3.72047381E-6	4.01302683E-5	9.37311664E-6	4.13779612E-5
1577521553527	3.71873927E-6	4.01295542E-5	9.37318376E-6	4.13771279E-5
1577521554538	3.71804339E-6	4.01306774E-5	9.37312448E-6	4.13781413E-5
1577521555531	3.71865646E-6	4.01314557E-5	9.37304664E-6	4.13789336E-5
1577521556536	3.71914897E-6	4.01315480E-5	9.37301293E-6	4.13790597E-5
1577521557532	3.71940143E-6	4.01315513E-5	9.37298066E-6	4.13790783E-5
1577521558531	3.71953567E-6	4.01315253E-5	9.37291348E-6	4.13790500E-5
1577521559540	3.71960300E-6	4.01314708E-5	9.37289507E-6	4.13789990E-5
1577521560532	3.71964701E-6	4.01314938E-5	9.37292195E-6	4.13790313E-5
1577521561541	3.71964746E-6	4.01314802E-5	9.37287459E-6	4.13790074E-5
1577521562540	3.71966282E-6	4.01314773E-5	9.37282582E-6	4.13789949E-5
1577521563541	3.71964306E-6	4.01314529E-5	9.37282061E-6	4.13789684E-5
1577521564540	3.71966848E-6	4.01314998E-5	9.37278738E-6	4.13790086E-5
1577521565540	3.71970410E-6	4.01316197E-5	9.37270011E-6	4.13791083E-5
1577521566541	3.71982032E-6	4.01316942E-5	9.37259345E-6	4.13791669E-5
1577521567540	3.72008051E-6	4.01317785E-5	9.37245483E-6	4.13792406E-5
1577521568541	3.72022700E-6	4.01315332E-5	9.37240337E-6	4.13790042E-5
1577521569529	3.71996363E-6	4.01313226E-5	9.37250456E-6	4.13787992E-5
1577521570528	3.71979359E-6	4.01313285E-5	9.37257779E-6	4.13788062E-5
1577521571540	3.71973673E-6	4.01313976E-5	9.37265437E-6	4.13788855E-5
1577521572535	3.71974428E-6	4.01314471E-5	9.37265090E-6	4.13789334E-5
1577521573531	3.71971338E-6	4.01314571E-5	9.37266608E-6	4.13789438E-5
1577521574539	3.71973194E-6	4.01314342E-5	9.37267329E-6	4.13789249E-5
1577521575541	3.71976077E-6	4.01314315E-5	9.37266572E-6	4.13789231E-5
1577521576527	3.71975368E-6	4.01314418E-5	9.37266012E-6	4.13789312E-5
1577521577527	3.71975976E-6	4.01314482E-5	9.37264584E-6	4.13789347E-5
1577521578527	3.71976015E-6	4.01314690E-5	9.37263559E-6	4.13789526E-5
1577521579533	3.71975542E-6	4.01314565E-5	9.37260072E-6	4.13789321E-5
1577521580539	3.71975419E-6	4.01314364E-5	9.37256731E-6	4.13789050E-5
1577521581529	3.71971946E-6	4.01314101E-5	9.37250737E-6	4.13788627E-5
1577521582528	3.71974179E-6	4.01313888E-5	9.37249222E-6	4.13788407E-5
1577521583528	3.71974973E-6	4.01312553E-5	9.37242893E-6	4.13786976E-5
1577521584526	3.71988118E-6	4.01310100E-5	9.37227889E-6	4.13784375E-5
1577521585532	3.72048950E-6	4.01309932E-5	9.37197445E-6	4.13784070E-5
1577521586541	3.72121569E-6	4.01316409E-5	9.37172722E-6	4.13790444E-5
1577521587535	3.72080253E-6	4.01324548E-5	9.37188415E-6	4.13798322E-5
1577521588539	3.72015107E-6	4.01322964E-5	9.37212659E-6	4.13796749E-5
1577521589531	3.71992828E-6	4.01318877E-5	9.37229846E-6	4.13792974E-5
1577521590531	3.71987648E-6	4.01316549E-5	9.37232556E-6	4.13790731E-5
1577521591537	3.72000462E-6	4.01315172E-5	9.37228913E-6	4.13789429E-5
1577521592534	3.72016544E-6	4.01316267E-5	9.37222584E-6	4.13790492E-5
1577521593531	3.72012640E-6	4.01317643E-5	9.37226610E-6	4.13791882E-5
1577521594537	3.72000785E-6	4.01317839E-5	9.37233930E-6	4.13792131E-5
1577521595539	3.71994001E-6	4.01317048E-5	9.37238918E-6	4.13791416E-5
1577521596526	3.71993103E-6	4.01316623E-5	9.37235915E-6	4.13790928E-5
1577521597541	3.71993833E-6	4.01316574E-5	9.37240289E-6	4.13790986E-5
1577521598540	3.71992810E-6	4.01316738E-5	9.37239921E-6	4.13791127E-5
1577521599533	3.71992714E-6	4.01317046E-5	9.37242004E-6	4.13791473E-5
1577521600537	3.71991834E-6	4.01316934E-5	9.37238762E-6	4.13791283E-5
1577521601531	3.71994591E-6	4.01317131E-5	9.37241968E-6	4.13791571E-5
1577521602537	3.71998713E-6	4.01317456E-5	9.37246288E-6	4.13792022E-5
1577521603528	3.72004548E-6	4.01318702E-5	9.37240456E-6	4.13793150E-5
1577521604534	3.72013928E-6	4.01320682E-5	9.37236385E-6	4.13795063E-5
1577521605529	3.72045893E-6	4.01322726E-5	9.37239836E-6	4.13797411E-5
1577521606531	3.72106478E-6	4.01322038E-5	9.37229733E-6	4.13797059E-5
1577521607532	3.72131299E-6	4.01313118E-5	9.37220589E-6	4.13788424E-5
1577521608535	3.72035616E-6	4.01305033E-5	9.37227400E-6	4.13779877E-5
1577521609537	3.71950759E-6	4.01307332E-5	9.37236950E-6	4.13781560E-5
1577521610540	3.71942658E-6	4.01311977E-5	9.37237953E-6	4.13786015E-5
1577521611530	3.71967300E-6	4.01312817E-5	9.37239031E-6	4.13787075E-5
1577521612538	3.71980727E-6	4.01312702E-5	9.37233055E-6	4.13786949E-5
1577521613540	3.72016323E-6	4.01311170E-5	9.37223490E-6	4.13785567E-5
1577521614533	3.72082414E-6	4.01310303E-5	9.37208147E-6	4.13784972E-5
1577521615538	3.72196691E-6	4.01315088E-5	9.37178189E-6	4.13789963E-5
1577521616537	3.72219320E-6	4.01329794E-5	9.37159361E-6	4.13804002E-5
1577521617534	3.72072806E-6	4.01332872E-5	9.37180449E-6	4.13806147E-5
1577521618539	3.71995037E-6	4.01324897E-5	9.37214664E-6	4.13798489E-5
1577521619532	3.71986110E-6	4.01319810E-5	9.37232729E-6	4.13793884E-5
1577521620540	3.71989376E-6	4.01317109E-5	9.37239217E-6	4.13791441E-5
1577521621537	3.71994890E-6	4.01316762E-5	9.37243651E-6	4.13791254E-5
1577521622540	3.71996770E-6	4.01316067E-5	9.37246914E-6	4.13790671E-5
1577521623540	3.71998016E-6	4.01315778E-5	9.37246788E-6	4.13790399E-5
1577521624540	3.71998869E-6	4.01315665E-5	9.37251084E-6	4.13790395E-5
1577521625540	3.72002348E-6	4.01315616E-5	9.37247318E-6	4.13790292E-5
1577521626540	3.72000261E-6	4.01315289E-5	9.37249692E-6	4.13790011E-5
1577521627540	3.72002638E-6	4.01315343E-5	9.37251446E-6	4.13790124E-5
1577521628540	3.72001028E-6	4.01314983E-5	9.37252617E-6	4.13789787E-5
1577521629540	3.72001417E-6	4.01314716E-5	9.37254147E-6	4.13789566E-5
1577521630536	3.72002141E-6	4.01314918E-5	9.37255521E-6	4.13789800E-5
1577521631532	3.72002866E-6	4.01314405E-5	9.37255449E-6	4.13789307E-5
1577521632536	3.72003027E-6	4.01313923E-5	9.37253237E-6	4.13788791E-5
1577521633533	3.72002525E-6	4.01314528E-5	9.37252554E-6	4.13789358E-5
1577521634541	3.72003869E-6	4.01314761E-5	9.37253943E-6	4.13789628E-5
1577521635541	3.72003806E-6	4.01314317E-5	9.37259446E-6	4.13789321E-5
1577521636528	3.71998671E-6	4.01313944E-5	9.37256802E-6	4.13788853E-5
1577521637540	3.71998884E-6	4.01314322E-5	9.37258206E-6	4.13789253E-5
1577521638532	3.71999629E-6	4.01313950E-5	9.37258565E-6	4.13788908E-5
1577521639526	3.71998510E-6	4.01313764E-5	9.37257709E-6	4.13788698E-5
1577521640529	3.72000965E-6	4.01313733E-5	9.37257446E-6	4.13788684E-5
1577521641537	3.71999525E-6	4.01313545E-5	9.37259149E-6	4.13788527E-5
1577521642530	3.71996169E-6	4.01313613E-5	9.37256149E-6	4.13788495E-5
1577521643530	3.71997082E-6	4.01313467E-5	9.37256233E-6	4.13788363E-5
