"Date"	2019-12-25 01:43:09 GMT+05:30
"Average Count [samples]"	400
"Average Function"	Quadratic Mean
"Digitiser Firmware Version"	01.02-00/00
"Digitiser Hardware Version"	04_01/01
"Digitiser Name"	FGM3D TD
"Digitiser Serial Number"	000068
"Profile Settings"	Name: FGM3D/100 (Unit: T), Transformer: [UnitConverter[Factor: 1E-05, Units: V => T]], Unit: T
"Recording Software Copyright"	Copyright ©  SENSYS 2012 - 2014
"Recording Software Name"	SENSYS FGM3D TD Application
"Recording Software Vendor"	SENSYS GmbH
"Recording Software Version"	01.00-01/00
"Samplerate [Hz]"	400

"Timestamp [ms]"	"X-Axis [T]"	"Y-Axis [T]"	"Z-Axis [T]"	"Absolute Value [T]"
1577238288565	4,09537254E-5	1,48770923E-6	4,76891787E-6	4,12572840E-5
1577238289565	4,09537496E-5	1,48770502E-6	4,76896583E-6	4,12573134E-5
1577238290565	4,09536992E-5	1,48769387E-6	4,76898948E-6	4,12572657E-5
1577238291566	4,09537050E-5	1,48770862E-6	4,76896532E-6	4,12572692E-5
1577238292565	4,09537175E-5	1,48770792E-6	4,76896750E-6	4,12572818E-5
1577238293566	4,09537423E-5	1,48773212E-6	4,76897346E-6	4,12573080E-5
1577238294566	4,09537485E-5	1,48770455E-6	4,76897529E-6	4,12573133E-5
1577238295565	4,09536964E-5	1,48772413E-6	4,76896994E-6	4,12572617E-5
1577238296566	4,09536860E-5	1,48770297E-6	4,76893616E-6	4,12572468E-5
1577238297567	4,09536701E-5	1,48773748E-6	4,76895753E-6	4,12572347E-5
1577238298568	4,09537021E-5	1,48771886E-6	4,76896800E-6	4,12572670E-5
1577238299568	4,09536996E-5	1,48768147E-6	4,76894832E-6	4,12572609E-5
1577238300568	4,09536505E-5	1,48765674E-6	4,76893851E-6	4,12572101E-5
1577238301568	4,09536705E-5	1,48768426E-6	4,76893207E-6	4,12572302E-5
1577238302568	4,09536869E-5	1,48769151E-6	4,76889454E-6	4,12572424E-5
1577238303568	4,09536949E-5	1,48769346E-6	4,76886673E-6	4,12572472E-5
1577238304567	4,09537056E-5	1,48768528E-6	4,76888220E-6	4,12572594E-5
1577238305567	4,09536770E-5	1,48768080E-6	4,76888269E-6	4,12572308E-5
1577238306567	4,09536996E-5	1,48766160E-6	4,76888360E-6	4,12572527E-5
1577238307566	4,09537017E-5	1,48761040E-6	4,76886530E-6	4,12572508E-5
1577238308571	4,09536825E-5	1,48757969E-6	4,76886279E-6	4,12572303E-5
1577238309571	4,09536788E-5	1,48760388E-6	4,76884167E-6	4,12572251E-5
1577238310571	4,09536618E-5	1,48757536E-6	4,76881796E-6	4,12572044E-5
1577238311565	4,09536873E-5	1,48756921E-6	4,76884940E-6	4,12572332E-5
1577238312565	4,09537237E-5	1,48758160E-6	4,76882119E-6	4,12572665E-5
1577238313571	4,09537058E-5	1,48755547E-6	4,76879162E-6	4,12572444E-5
1577238314571	4,09537035E-5	1,48756849E-6	4,76878885E-6	4,12572423E-5
1577238315565	4,09537310E-5	1,48758058E-6	4,76875566E-6	4,12572661E-5
1577238316565	4,09537260E-5	1,48764908E-6	4,76876580E-6	4,12572648E-5
1577238317565	4,09537494E-5	1,48762434E-6	4,76876889E-6	4,12572875E-5
1577238318565	4,09537286E-5	1,48763615E-6	4,76878405E-6	4,12572690E-5
1577238319571	4,09537279E-5	1,48758245E-6	4,76877564E-6	4,12572654E-5
1577238320571	4,09537477E-5	1,48767596E-6	4,76878399E-6	4,12572894E-5
1577238321565	4,09537489E-5	1,48764582E-6	4,76879115E-6	4,12572904E-5
1577238322578	4,09537378E-5	1,48768947E-6	4,76878535E-6	4,12572803E-5
1577238323578	4,09537486E-5	1,48771965E-6	4,76877484E-6	4,12572909E-5
1577238324567	4,09537254E-5	1,48769943E-6	4,76873962E-6	4,12572630E-5
1577238325567	4,09537337E-5	1,48767368E-6	4,76875399E-6	4,12572719E-5
